Category,N,National_rate_100k_yr,CV_pct,Extremal_ratio,IQR_ratio,Q1_rate,Q3_rate,Mean_SDR,Level
All Arthrodesis,58818,4.664827082454733,86.93179049231381,49.65654612213709,2.6820669130084536,1.7761211710187488,4.763675826283215,0.8317024498821161,State (N=27)
Lumbar degenerative,25880,2.052530261041322,125.15824055868543,100.37127041618679,5.20259149253657,0.35128207530505584,1.827577136462674,0.8189987499351555,State (N=27)
Cervical degenerative,4642,0.36964238597792937,94.11447258477848,76.37539083509468,6.490552863971268,0.07239931912796979,0.4699116081156141,0.7708680657094502,State (N=27)
Trauma,16114,1.2779935327055587,62.43282561921439,268.98037844641186,2.636376450119208,0.6373116439864555,1.6801934095926478,0.8776569599488598,State (N=27)
Deformity,1752,0.13935196107628658,104.52929552326246,41.268752747574,5.0723779304032695,0.031229668264098485,0.15840868007662853,0.8753670372140188,State (N=27)
All Arthrodesis (Municipality),47899,,280.18837516108664,215.6,2.769230769230769,13.0,36.0,,Municipality (N=951)
