,Rate/100k/yr,Mortality (%),Mean LOS,Mean Cost (BRL),Mean Age,Specialists/100k
Rate/100k/yr,1.0,-0.2585864783600081,-0.27472527472527475,0.2612942612942613,0.6361416361416361,0.7448107448107448
Mortality (%),-0.2585864783600081,1.0,0.2558388062168675,-0.29247443479207524,-0.3749045990862927,-0.17218745430347646
Mean LOS,-0.27472527472527475,0.2558388062168675,1.0,-0.31684981684981683,-0.362026862026862,-0.2600732600732601
Mean Cost (BRL),0.2612942612942613,-0.29247443479207524,-0.31684981684981683,1.0,0.1617826617826618,0.42857142857142855
Mean Age,0.6361416361416361,-0.3749045990862927,-0.362026862026862,0.1617826617826618,1.0,0.7582417582417582
Specialists/100k,0.7448107448107448,-0.17218745430347646,-0.2600732600732601,0.42857142857142855,0.7582417582417582,1.0
