res_region,Lumbar degenerative,Cervical degenerative,Trauma,Deformity,Other
Middle West,27.48700534392006,-1.415981136870154,-21.994569085263898,-3.2406125829636045,-12.271719401177448
North,-14.666329252104045,-5.213731078510581,24.496845834307955,-2.1750011271367553,-3.3428572077203507
Northeast,-20.378846919057686,-12.28392825138907,24.383915313943113,13.133823147565382,4.840168751702912
South,14.401703803462157,-5.832415712609127,-16.177186814925864,0.17519535605928666,1.553742970146309
Southeast,-12.313364656248943,14.53235950351955,5.75073634427496,-5.06440512250607,3.5539787075192106
